name,genre,subgenre,tell,detail,address,opentime,latitude,longitude,image_url_a,image_url_b,nation,res_id,created_at,updated_at
PALETTE SCHOOL,フィリピン,ブラカン,キャンパスはローカル×グローバルな国際村,"PALETTE SCHOOLは、フィリピン留学の中でも一風変わった語学学校です。国際NGOの複合施設（GK Enchanted Farm）内にキャンパスが位置することもあり、起業家や現地学生・農家の方など、日々さまざまな出会いに溢れています。

時期によっては、フランスなどヨーロッパの学生がインターンとして滞在するなど、グローバルな側面も。施設内のコミュニティには、フィリピン人の学生や家族が住んでいるため、授業外でも英語を使った異文化交流ができます。

マンツーマン授業で学んだ英語をすぐに日常生活で使えるので、自由度の高い環境の中でも英語を伸ばすことができます。",GK Enchanted Farm California St.Brgy Encanto Angat Bulacan the Philippines,"設立：2014年

",14.923757,121.008337,/images/pallete_a.jpg,/images/pallete_b.jpg,フィリピン,1,,
CIP,フィリピン,クラーク,ネイティブ講師 × 多国籍な生徒で国際色豊かなキャンパス,"CIPはクラーク（アンへレス）の落ち着いた高級住宅街に位置する語学学校で、ネイティブ講師が多く、多国籍な生徒が集まることで有名です。

常時10名以上のネイティブ講師が在籍しており、国籍はアメリカ・イギリス・カナダ・オーストラリアなど様々。ネイティブからも授業を受けられる環境に惹かれ、アジア圏をはじめとして世界中から生徒が集います。

どのコースを選んでもネイティブ講師による発音やスピーキングの少人数クラスを必ず受けられるため、ワーキングホリデーに行く前からネイティブ英語に慣れることができます。","Lots 18 & 19 block 37 Kamatigue st. cutcut. Angeles city, Philippines","設立：2007年

",15.140339,120.574798,/images/CIP_1.jpg,/images/CIP_2.jpg,フィリピン,2,,
Genius English,フィリピン,セブ,世界中から生徒が集うセブ随一の多国籍な環境,"フィリピン留学中も、国際色豊かでグローバルな環境に身を置きたい。そんな思いを叶えてくれるのが、ここGenius English。

通常のフィリピン留学は、多国籍な学校であってもアジア圏からの生徒が多いです。しかしロシア人経営である同校には、アジアや中東圏だけでなく、なんとロシアやスペイン・ドイツ・フランスなどヨーロッパからの生徒もいるから驚き。

この多国籍な環境を活かし、同校では放課後に毎日アクティビティ（自由参加）を実施しています。また、週末にはいろんな国籍の生徒が合同で集まり、小旅行に行くことも。

授業外での自然なコミュニケーションを通じて、まさに24時間英語に触れられる環境が整っています。Genius Englishでの留学を通じて、グローバルな世界へ一歩踏み出してみましょう！","EGI Hotel Bldg. 1, Looc, Maribago, Lapu-lapu City 6015 Cebu Philippines",設立：2013年,10.28472,123.997516,/images/GENIUS_ENGLISH_1.jpg,/images/GENIUS_ENGLISH_2.jpg,フィリピン,3,,
CNE1,フィリピン,ターラック,超初級でも大丈夫！口コミ・リピーター率 No. 1の人気校,"CNE1はのどかで治安の良いターラック州に位置し、語学学校の中で数少ないフィリピン政府高等教育委員会(CHED)から正式に認可を受けた学校です。

英語での「スピーキング力」と「コミュニケーション力」の両方を向上させる授業カリキュラムを、日系として最初に構築したことでも有名。2010年の創業以来、その高い生徒満足度により、広告宣伝無しで3500名以上の卒業生を輩出しています。

また、生徒のレベルと要望に合わせて授業を実施できるように、日本語版のオリジナル教材も開発。超初心者から上級者まで幅広いレベルに対応できることから、リピーターとして再留学する人も続出する人気校です。","San Vicente, San Manuel, Tarlac 2309, Philippines",設立：2010年,15.858225,120.584380,/images/CNE1_1.jpg,/images/CNE1_2.jpg,フィリピン,4,,
BECI,フィリピン,バギオ,10000坪の広大なキャンパスで、のびのびとスピーキング力を伸ばす,"BECIは、緑あふれる広大なキャンパスとモダンな校舎を持つ老舗校。
スピーキングの向上に力を入れている学校としても有名で、独自で開発したスピーキング強化プログラムである「REHAB（発音矯正）」と「SP（スピーキング集中矯正）」が人気を集めています。

フィリピンの天空都市と呼ばれる「バギオ」に位置し、自然に囲まれた広大な施設内には、カフェが併設するオシャレなラウンジやマッサージ店・ジム等があり、授業外に息抜きできる環境が整っています。

大自然に囲まれた広大なキャンパスで、集中してスピーキング力を伸ばしたい方にオススメの学校です！","381 purok 5, Dontogan, Baguio, Benguet,Philippines","設立：2003年

",16.379747,120.572515,/images/BECI_1.jpg,/images/BECI_2.jpg,フィリピン,5,,
A＆J,フィリピン,バギオ,実践重視のワーキングホリデー準備コース,"A&Jは、フィリピンの天空都市と呼ばれる「バギオ」に位置するセミスパルタ校です。最大の特徴は何と言っても、実践重視のワーキングホリデー準備コース。英語環境での仕事（ローカルジョブ）に就くことを目的とし、ワーホリ前の生徒が不安に感じる「働く際に必要な英語」を12週間のカリキュラムで学習します。

カフェ・レストラン・ホテルでの実用的な接客英語をはじめ、履歴書の書き方・面接対策などを教室で学び、コース終盤には市内の有名カフェにて最大40時間の就業を体験。これらを通して、「英語での接客スキル」を総合的に身につけます。

英語で接客することは難しいですが、ワーキングホリデー先の飲食店で働くには必須のスキル。フィリピン留学中に英語接客スキルを身につけることで、ローカルジョブをゲットへの大きな一歩となります！","63 Purok 3 Camp 7 W Rd, Baguio, 2600 Benguet, the Philippines","設立：2008年

",16.391086,120.599970,/images/A＆J_1.jpg,/images/A＆J_2.jpg,フィリピン,6,,
Face to Face,フィリピン,タガイタイ ,別荘のような空間で先生たちと英語を使った共同生活,"Face to Faceは生徒規模20名ほどのアットホームな語学学校で、過ごしやすい気候で有名な高級リゾート地タガイタイに位置しています。別荘が立ち並ぶエリア内の、おしゃれな一軒家6戸を宿舎として利用。

本校のユニークかつ最大の魅力は、なんと宿舎で英語教師との共同生活ができる点。それぞれの一軒家につき2-3人、準ネイティブを含む計10名以上の教師が生徒宿舎に滞在しています。授業でわからなかったことを気軽に質問するなど、放課後であっても自由なコミュニケーションが可能。

毎日同じ屋根の下で一緒に食事をしたり、笑い合う共同生活を通して、自然と日常英会話が身につくのが特徴です。他にはない異文化シェアハウスで、24時間英語に触れる留学を満喫しましょう！","J.P. Rizal Ave, 4120 Tagaytay City","設立：2014年

",14.103141,120.935652,/images/Face_to_Face_1.jpg,/images/Face_to_Face_2.jpg,フィリピン,7,,
GITC,フィリピン,イロイロ,TOEIC対策で実績No.1のセミスパルタ校,"GITC（旧C&C）は地方都市「イロイロ」に位置する、フィリピン国内で最もTOEIC対策に定評のある語学学校です。

2003年から10カ国・5000人以上の生徒を輩出してきた実績をもとに、効率的に英語を伸ばすことのできるセミスパルタのカリキュラムを提供。遊びの誘惑が少ない地域で、真剣に英語を学ぼうとする生徒がアジア各国から集まります。そんな環境の中、日本人比率が1割以下なのも大きな魅力。

カリスマTOEIC講師のオデット先生が教える「点数保証コース」が大人気で、ワーキングホリデー前やワーホリ先から日本へ帰国する直前に留学する生徒も多いです。","Punta Villa Resort, Sto Nino Sur Arevalo, IloIlo City Philippines",設立：2003年,10.682923,122.506445,/images/GITC_1.jpg,/images/GITC_2.jpg,フィリピン,8,,
Philinter,フィリピン,セブ,学習環境の向上に挑み続けるセブの老舗校,"Philinterは15年以上の歴史があり、他の語学学校のモデルにもなっている名門校です。セブ最大のリゾート地であるマクタン島に位置するセミスパルタ校なので、1日最大9コマの授業を受けながらアクティビティを楽しむこともできます。

最大の特徴は、効率的に英語力を伸ばせるよう工夫された学習環境。本校では、英語レベルを表す国際基準CEFRをさらに13段階に細分化したレベル分け制度を採用。科目ごとに細かく英語力を伸ばし、確実な成果に繋げることができます。その他にも長年の教育ノウハウを活かし、より良い学習環境を作り出すための仕組みやサービスが盛りだくさん。

サービスの質の高さが政府から評価され、フィリピンに500校ほどあると言われる語学学校のうち、10数校のみが選出される「フィリピン観光省認定校」にも選ばれています。","Mustang, Ceniza street ., pusok, Lapu-lapu city,Cebu, Philippines 6015",設立：2003年,10.317907,123.966821,/images/PHILINTER_1.jpg,/images/PHILINTER_2.jpg,フィリピン,9,,
Enderun Colleges Language Center,フィリピン,マニラ,最先端都市に位置する大学付属の語学センター,"Enderun College Language Centerは、首都マニラの中でも最先端の地域Bonifacio Global Cityにキャンパスを構える語学センターです。ビジネスやホスピタリティの分野で最先端の教育を提供するエンデラン大学が運営していることもあり、世界30ヵ国以上から生徒の受け入れ実績があります。そのため、キャンパス内は非常に国際色豊か。

学校の方針が、ただ英語を学ぶだけではなく「グローバルリーダーとして活躍できる人材の育成」であるため、豊富なインターンシッププログラムも用意されています。

授業は、フィリピン留学と欧米留学を組み合わせたハイブリッド型。生徒一人ひとりに合わせたマンツーマンクラスに加え、ネイティブ講師によるグループクラスを受けることができます。そのため、ワーホリや二カ国留学前からでもネイティブ英語に慣れることのできる環境が整っています。","1100 Campus Avenue, McKinley Hill, Fort Bonifacio Taguig City 1634 Philippines",設立：2005年,14.559179,121.057215,/images/Enderun_College_1.jpg,/images/Enderun_College_2.jpg,フィリピン,10,,
SPEA,フィリピン,ドゥマゲティ,勉強嫌いな初心者でも自信がつく体験型学習,"SPEAは「Starting Point English Academy」という名の通り、初心者でも安心して英語を学べる学校です。最大の特徴は何と言っても、実践体験学習（アクティブラーニング）。当校では治安の良いドゥマゲティの街を利用し、文部科学省も推進するアクティブラーニングに取り組むことができます。

教室を飛び出して街に繰り出し、教師と二人三脚であらゆる課題に英語で挑戦。挑戦する課題は「ラジオ局で出演依頼をする」「地元の人気レストランで働いてみる」など様々。留学中にバディとなる教師と共に、自由に課題を考えることもできます。

事前のリサーチ・準備から実践、その後のプレゼンテーションまで、一貫して実践英語を身に付けるプログラムが１週間単位で組まれています（何週間でも受講可能）。 机に向かった勉強が苦手な方でも、英語力と自信がつくこと間違いなしの学校です！","14-F-2A Pinili Compound, Bolobc Boloc, SIbulan, Negros Oriental, Philippines 6201","設立：2014年

",9.334611,123.287761,/images/SPEA_1.jpg,/images/SPEA_2.jpg,フィリピン,11,,
CROSS×ROAD,フィリピン,セブ,夢を語り高め合う、旅人たちの語学学校,"クロスロード は、世界一周・ワーキングホリデー・海外就職など、これから海外でチャレンジする人に特化した語学学校です。

世界一周経験のある日本人夫婦が運営する学校で、その人柄と学校コンセプトに惹かれた多様なバックグラウンドを持つ生徒が集います。小規模かつ目的に特化した授業を受けられるため、卒業生の満足度が非常に高いことでも有名。

英語を学ぶだけでなく同じ志を持つ仲間と共に高め合う、そんな旅のスタート地点のような「場」が、ここクロスロードにはあります。",E3 Emerald Talamban Cebu city Philippines,"設立：2012年

",10.354484,123.917983,/images/crossload_1.jpg,/images/crossload_2.jpg,フィリピン,12,,
Howdy English Academy,フィリピン,セブ,教育学のプロが作るカリキュラムで初心者も伸びる,"大学院でも教育学を教えるかたわら、フィリピン政府高等教育機関（CHED）の顧問も務めるDr. Tampus氏が、Howdyの英語学習カリキュラムを監修。

日本のテレビからも取材を受ける彼女が、心理学や教育理論を駆使し「日本人にとって最適な英語学習」の提供を目指しています。

日本の中学校や高校とも提携して団体を受け入れるほどの、充実した学習環境を持つ当校。英語初心者・海外が初めてという方でも、一から英語学習をやり直せる環境がHowdyにはあります。","Insular Square Rizal St, Mandaue City Cebu",設立：2014年,10.350014,123.947935,/images/Howdy_1.jpg,/images/Howdy_2.jpg,フィリピン,13,,
3D ACADEMY,フィリピン,セブ,コスパ最強！セブ島で人気の格安学校！,"3D ACADEMYは、2002年より6000名以上の卒業生を輩出した「MTM JY校」の英語教育ノウハウと経験豊富な講師陣を引き継いだセブの人気校です。
最大の特徴は、格安校でありながら、立地環境・生活面のサポート・授業のすべてが高いレベルであること。

特に立地環境に関してはセブの語学学校でもNo.1と名高く、非常に便利な環境です。校舎を市内のJYスクエアモール（ショッピングモール）の正面に構えており、スーパー・レストラン・両替所・薬局などがすべて徒歩圏内。学校の前は交通拠点となっているため出かける時も困りません。

普通の格安学校では味合うことのできないコストパフォーマンスを感じることのできる、初心者向けの語学学校です。","2F, La Nivel Hotel, JYSquare, Lahug, Cebu City",設立：2002年,10.330112,123.898154,/images/3D_ACADEMY_1.jpg,/images/3D_ACADEMY_2.jpg,フィリピン,14,,
Basic English Camp（b.E. Camp）,フィリピン,マニラ,初心者専門のアットホームな学校,"Basic English Camp（b.E. Camp）は、マニラ市街から車で約1時間南下したエリアに位置するアットホームな初心者専門校です。

英語力0からフィリピン留学を経験した校長の伊藤さんが、他の語学学校でマネージャーを務めたのちに設立した当校。初心者向けに作られたオリジナルの日本語教材や、校長の伊藤さん自らが日本語で英語を教えるクラスなど、学校全体が英語初心者向けに設計されていることがわかります。

生徒規模も最大で20人ほどと小規模で、校内はとてもアットホームな雰囲気。英語が苦手な方や、留学が初めてという社会人の方に人気の学校です。","#53 Balagtas St, Chrysanthemum Village, SanPedro City, Laguna 4023 Philippines",設立：2014年,14.344331,121.045437,/images/b.E_Camp_1.jpg,/images/b.E_Camp_2.jpg,フィリピン,15,,
"ELSIS (Sydney)
",オーストラリア,シドニー,進学でも有名なシドニーの多国籍校,"ELSISシドニー校は、進学を視野に入れた生徒も集う、国際色豊かな学校です。ブリスベンとメルボルンにもキャンパスを持ち、これまでに25,000人以上の生徒を受け入れてきました。

シドニー校は市街の中心に位置し、電車などでのアクセスもばっちり。オーストラリア最大の都市でシティライフを味わいながら、週末にはビーチにもすぐ行ける点も魅力です。

日本人生徒が少ない中さまざまなアクティビティにも参加できるので、英語でのコミュニケーション機会が豊富。個別レッスンをはじめとした無料のワークショップも毎日1-3コマ実施しており、積極的に自分から英語を学ぶ姿勢を持つ方にはぴったりの環境です！","Level 2/545 Kent St, Sydney NSW 2000, Australia","設立：1991年

",33.869746,151.202766,/images/ELSIS_Sydney_1.jpg,/images/ELSIS_Sydney_2.jpg,オーストラリア,16,,
ELSIS Brisbane,オーストラリア,ブリスベン,進学でも有名なブリスベンの多国籍校,"ELSISブリスベン校は、進学を視野に入れた生徒も集う、国際色豊かな学校です。シドニーとメルボルンにもキャンパスを持ち、これまでに25,000人以上の生徒を受け入れてきました。

中でもブリスベン校は一年を通して暖かく、国内でも特に治安の良い都市に位置するのがポイント。滞在費が比較的安い点やホームステイ先が学校から近いのも特徴です。

また、日本人生徒が少ない中、アクティビティにも参加できるので、英語でのコミュニケーション機会が豊富。個別レッスンをはじめとした無料のワークショップも毎日1-3コマ実施しており、積極的に自分から英語を学ぶ姿勢を持った方にぴったりの環境です！","​Level 1, 126 Margaret St Brisbane, QLD 4000","設立：2016年

",27.472896,153.027617,/images/ELSIS_Brisbane_1.jpg,/images/ELSIS_Brisbane_2.jpg,オーストラリア,17,,
Langports (Brisbane),オーストラリア,ブリスベン,高い生徒満足度を誇るブリスベン不動の人気校,"Langportsブリスベン校は、しっかりと英語を身に付けたい方に高い人気を誇る学校。

オーストラリア第三の都市ブリスベンは、一年を通して暖かく、国内でも特に治安の良い都市です。街自体もコンパクトなため、買い物や移動もとても便利。Langportsは、そんな街の中心地から徒歩10分ほどに位置しています。

総合的に英語力を測るのではなく、科目別に細かくレベル分けする独自のUFO プログラムが当校最大の魅力。科目ごとにクラスが異なるため、学校で作れる友達も自然と多くなります。アクティビティも充実しており、楽しみながらもしっかりと英語を学びたい方にオススメです！","33 Herschel St, Brisbane City QLD 4000","設立：2004年

",27.467785,153.019217,/images/Langports_Brisbane_1.jpg,/images/Langports_Brisbane_2.jpg,オーストラリア,18,,
