name,genre,subgenre,tell,detail,address,opentime,latitude,longitude,image_url_a,image_url_b,nation,res_id,created_at,updated_at
Byron Bay English Language School,オーストラリア,バイロンベイ,自然の中でグローバルな仲間と送る”Only 1″な留学,"Byron Bay English Language School（BBELS）は、 ゴールドコーストから車で1時間半ほどの海沿いの小さな街「バイロンベイ」に位置する多国籍な学校です。美しい自然が残されているこの町はパワースポットとしても知られ、世界中から人々が集います。

ヨーロッパや南米からの生徒も多く、国際色豊かな当校では毎日実施のアクティビティを通して、日々楽しい交流が行われます。

ビーチから徒歩10分という立地を利用した、英語＋サーフィン・ヨガなどの多様なプログラムもあるので、自分らしい留学・ワーホリ生活を送りたい方にオススメです！","5 / 1 Carlyle Street, Byron Bay NSW 2481","設立：1998年

",28.646062,153.613613,/images/BYRON_BAY_1.jpg,/images/BYRON_BAY_2.jpg,オーストラリア,19,,
"SELC（Bondi）
",オーストラリア,シドニー,シドニーで２番目に歴史のある老舗名門校,"SELC ボンダイ校は、1985年に創立されたシドニーで2番目に歴史のある名門校。実践トレーニングに特化したカリキュラムである「バリスタコース」が特に人気の学校です。

当校は、シドニー中心部まで電車で10分。オーストラリアで最も有名なボンダイビーチまでバスで約10分の距離にあり、シティライフとビーチライフ両方を満喫できる好ロケーションとなっています。

また、SELC愛に溢れた優秀なベテラン講師陣が多く在籍している当校。バリスタコースだけでなく、一般英語・ケンブリッジ検定・IELTSなどのコースでも質の高い授業を受けることができます。学習環境に加え、アクティビティも充実しているため、「楽しみながらもしっかりと英語を学びたい！」といった方にオススメの学校です！","19-23 Hollywood Ave, Bondi Junction NSW 2022","設立：1985年

",33.893737,151.249199,/images/SELC_Bondi_1.jpg,/images/SELC_Bondi_2.jpg,オーストラリア,20,,
INUS English,オーストラリア,メルボルン,カフェの本場で身に付ける英語とバリスタスキル,"INUSはメルボルンの中心地に位置する、少人数制バリスタコースが人気の学校です。

オーストラリア第二の都市メルボルンは、『世界一住みたい町』にも選ばれたアートの街。また、国内で最もコーヒーが有名な都市で、街の至るところにカフェがあります。

校内カフェにて合計48時間のインターンができるバリスタコースが、INUS最大の特徴。実践的なスキルを身につけることが可能です。

加えて、オフィスワークを含む豊富なインターンシップやプチバリスタコースなど、「英語＋アルファで何かに挑戦したい」という望みを実現してくれる留学先です。","Level 5 & 8, 85 Queen Street Melbourne, VIC 3000","設立：2011年

",37.816471,144.961062,/images/INUS_English_1.jpg,/images/INUS_English_2.jpg,オーストラリア,21,,
BROWNS English Language School(Brisbane),オーストラリア,ブリスベン,活気にあふれたブリスベンの人気校,"BROWNS English Language School（ブリスベン校）は、独自の英語学習カリキュラムや最新設備を取り入れた質の高い学習環境が評価され、国内外の数々の賞を受賞している人気校。一般英語・試験対策コース以外にも、バリスタ・インターンシップ・デミペアなど、英語＋αのコースが開講されています。

ブリスベンは年間を通して温かい気候に恵まれていて、住みやすさに定評のある都市。当校は、そんなブリスベンの中心部であるQueen Street Mall（ショッピングストリート）近くに位置しています。

学習環境はもちろん。無料のアクティビティも充実しているため、楽しみながらもしっかりと英語を学ぶことが可能。ブリスベン校には日本人スタッフが２名以上在籍しておりサポートが手厚いので、英語初級者や海外初心者の方にも一押しの留学先です！","Level 4, 102 Adelaide Street, Brisbane 4000","設立：2009年

",27.468457,153.024161,/images/BROWNS_Brisbane_1.jpg,/images/BROWNS_Brisbane_2.jpg,オーストラリア,22,,
BROWNS English Language School (Gold Coast),オーストラリア,ゴールドコースト,アクティビティ豊富なゴールドコーストの人気校,"BROWNS English Language School（ゴールドコースト校）は、独自の英語学習カリキュラムや最新設備を取り入れた質の高い学習環境が評価され、国内外の数々の賞を受賞している人気校。

ゴールドコースト校は留学生が多く暮らすおしゃれな街サウスポートの中心に位置し、公共交通機関にほど近く、ビーチまで10分という非常に便利な立地。週末や放課後など、綺麗な海を満喫することができます。

学習環境はもちろん、無料のアクティビティも充実しているため、楽しみながらもしっかりと英語を学ぶことが可能。ゴールドコースト校では一般英語・試験対策コース以外にも、バリスタ・インターンシップ・ダイビング・サーフィン・テニスなどの多様な英語＋αのコースが開講されているため、自分らしい留学・ワーホリ生活を送りたい方にオススメの学校です！","5-7 Marshall Ln, Southport QLD 4215, Australia","設立：2003年

",27.964883,153.413558,/images/BROWNS_goldcoast_1.jpg,/images/BROWNS_goldcoast_2.jpg,オーストラリア,23,,
Greenwich English College (Sydney),オーストラリア,シドニー,学習意識の高い生徒が集まるシドニーの名門校,"Greenwich シドニー校は、2005年11月に設立以降「優秀な講師陣による質の高い授業」が口コミで広がり、すぐに人気を博した名門校。生徒数が最大1000人の大規模校でありながら、スタッフからのサポートも手厚く、学習環境も整っています。

オーストラリア最大の国際都市であるシドニーの中心部にキャンパスを構えているため立地環境も◎！ 学校周辺にはレストランやバー、ショッピングモールなどが多く、休み時間や放課後の息抜きにも困りません。

一般英語・試験対策はもちろん、他校には珍しいビジネス・IT・発音矯正などのユニークなコースが開講されているのも当校の大きな魅力。コース変更も柔軟に行えるため、自身の英語習得度に応じてベストなコースを選択することができます。

授業時間が多いため、真剣に学習に取り組みたい方にオススメの学校です！","Level 2, 396 Pitt Street (enter via Goulburn Street), Sydney, NSW 2000, Australia","設立：2005年

",33.878268,151.207543,/images/GREENWICH_Sydney_1.jpg,/images/GREENWICH_Sydney_2.jpg,オーストラリア,24,,
Bridge Business College,オーストラリア,シドニー,豊富な専門コースを併せ持つシドニーの老舗校,"Bridge Business Collegeは、口コミで広がった多様なビジネス関連のコースを持つシドニーの学校です。英語コースの他に、ビジネス・観光学・マーケティング・会計学・人事などの専門コースが人気。

オーストラリア最大の都市シドニーの中心部に位置し、Wynyard駅から直結のキャンパスは、非常にアクセスが良いことでも有名です。自然と都会が交わるシドニーで、英語プラスアルファの留学を格安で実現できます。

時間割を６週間ごとに柔軟に調整できるので、仕事をしながら通う方にとっても両立が可能。英語を学んだ後に専門コースへ進みたい方にも特にオススメの留学先です！","​Level 9, 11 York Street Sydney 2000, New South Wales, Australia","設立：1991年

",33.865616,151.204284,/images/Bridge_Business_College_1.jpg,/images/Bridge_Business_College_2.jpg,オーストラリア,25,,
"Lloyds International College
",オーストラリア,シドニー,質 × 格安 を実現したコスパの高いシドニーの万能校,"Lloyds International Collegeは、リーズナブルな価格ながらIELTSなど質の高いコースを提供しているシドニーの人気校です。

オーストラリア最大の都市シドニーの中心部に位置し、キャンパスはTown Hall駅から徒歩３分。シドニーの都心部で、質を落とさずに格安留学を実現できます。

当校は英語コースと専門コースの両方を備えており、英語を学んだ後に進学する方、長期留学の方、柔軟な時間割で学びたい方にオススメの学校です！","Level 2, 436-450 Kent St Sydney NSW 2000","設立：1998年

",28.000440,153.429421,/images/Lloyds_1.jpg,/images/Lloyds_2.jpg,オーストラリア,26,,
Greenwich English College (Melbourne),オーストラリア,メルボルン,「学習」に専念できるメルボルンの名門校,"Greenwich メルボルン校は、シドニーで生徒数1000人を誇る名門校が2015年に設立した新キャンパス。質の高い授業が受講できることで有名なメルボルン屈指の人気校です。

校舎はメルボルン中心地であるサザンクロス駅前のビルの3フロアを使用。学校周辺にはお洒落なカフェやレストランがたくさんある好立地です。

一般英語・試験対策はもちろん、他校には珍しいビジネス・IT・発音矯正などのユニークなコースが開講されているのも当校の大きな魅力。コース変更も柔軟に行えるため、自身の英語習得度に応じてベストなコースを選択することができます。

生徒サポートや学習カリキュラムがしっかりしているため、真剣に学習に取り組みたい方にオススメの学校です！","Level 8/120 Spencer St, Melbourne VIC 3000, Australia",設立：2015年,37.818212,144.954333,/images/GREENWICH_Melborne_1.jpg,/images/GREENWICH_Melborne_2.jpg,オーストラリア,27,,
"ILSC (Brisbane)
",オーストラリア,ブリスベン,世界中にキャンパスを構える大規模校,"ILSCはブリスベン・シドニー・メルボルンをはじめ、カナダやインドなど世界中に計７つのキャンパスを構える人気の大規模校です。

オーストラリア第三の都市ブリスベンは、一年を通して暖かく、国内でも特に治安の良い都市。買い物や移動などに便利なコンパクトな街です。ILSCブリスベン校は、そんなブリスベンの中心地に位置しています。

豊富な科目の中から、興味・関心に合わせて選べる選択制の授業や厳しい英語オンリーポリシー、そして豊富なアクティビティが魅力。さらには、クラスのレベルを１０段階に分けるなど、初級から上級までをカバーする学習環境となっています。真剣に英語学習に取り組みながら、プラスαの経験も充実させたい方にオススメの学校です！

","​1/232 Adelaide St, Brisbane City QLD 4000","設立：2010年

",27.466881,153.026579,/images/ILSC_language_school_Brisbane_1.jpg,/images/ILSC_language_school_Brisbane_2.jpg,オーストラリア,28,,
Langports (Gold Coast),オーストラリア,ゴールドコースト,ゴールドコーストで最も豊富なコースを持つ人気校,"Langportsゴールドコースト校はサーファーズパラダイスに位置し、豊富なコース数で知られる長期留学にも人気の語学学校です。

ゴールドコーストと言えば一直線に続く長いビーチですが、Langportsのキャンパスからメインビーチまではなんと徒歩５分。文字通り、オーストラリアらしい、ビーチに囲まれた留学・ワーキングホリデー生活を送ることができます。

カリキュラムに関しては総合的に英語力を測るのではなく、科目別に細かくレベル分けする独自のUFO プログラムが最大の魅力。科目ごとにクラスメイトが異なるため、より多くの友達と仲良くなれます。アクティビティも充実しているので、楽しみながらしっかり英語を学びたい方にオススメです！",62 Appel Street. Surfers Paradise QLD 4217,"設立：2007年

",28.004564,153.428145,/images/Langports_goldcoast_1.jpg,/images/Langports_goldcoast_2.jpg,オーストラリア,29,,
Gold Coast Learning Centre,オーストラリア,ゴールドコースト,ビーチ街で学ぶリーズナブルな留学,"Gold Coast Learning Centreは、一直線に続くビーチで有名な「ゴールドコースト」に位置する、リーズナブルかつ質の高い授業が人気の学校です。

世界中のサーファーから大人気の「サーファーズパラダイス」というエリアに校舎を構えており、なんとビーチまで徒歩２分。オーストラリアのビーチライフに浸りながら、留学やワーキングホリデーが楽しめる絶好の立地となっています。

小規模かつアットホームな学校でありながら、授業料が安いことで有名。一方で、英語コース以外にも専門コースも備えているので、進学を視野に入れている方にもオススメの学校です！","Levels 1–3, 18–22 Orchid Ave Surfers Paradise QLD 4217","設立：2010年

",28.000720,153.428526,/images/Gold_Coast_Learning_Centre_1.jpg,/images/Gold_Coast_Learning_Centre_2.jpg,オーストラリア,30,,
Cass Training International College(CTIC),オーストラリア,シドニー,明るくTHEシドニーな留学を叶えてくれる人気校,"CTICはシドニー市内に位置し、有名な港ダーリングハーバーからも徒歩1分という好立地にキャンパスを構える学校です。

2018年に新キャンパスへ移転したこともあり、自然と都会のハーモニー溢れる港町シドニーで、明るさ溢れる留学を実現しています。

生徒の出身地に偏りがでないよう国籍比率のバランスを常に調整しており、キャンパス内はいつも国際色豊か。また、ネイティブが使う自然な英語表現を学べる「Real Englishコース」も当校の魅力で、実践的な英語力を身に付けることができます。

日本人スタッフのケアも手厚い学校なので、英語や海外初心者の方にもオススメの留学先です。","Ground Floor, 48 Lime Street, Sydney, NSW 2000","設立：1989年

",33.868722,151.202190,/images/CTIC_1.jpg,/images/CTIC_2.jpg,オーストラリア,31,,
Lonsdale Institute/Bespoke (Sydney),オーストラリア,シドニー,安心して英語漬けになれるシドニーの名門校,"Lonsdale Institute/Bespoke（シドニー校）は、卒業生の満足度が高い名門校の1つ。小規模でアットホームかつ少ない日本人比率が魅力です。

当校は、バランスよく都会と自然を感じられる都市シドニーの中心部に位置し、最寄の駅からも歩いて５分とアクセスもばっちりです。

１クラスあたり平均12人ほどの少人数制クラスが人気で、フレンドリーな教師やスタッフからのサポートが手厚いことでも有名。放課後に毎日無料アクティビティ/クラスを実施しているので、希望すればどんどん学ぶことのできる環境となっています。日本人が少ないけど、サポートはしっかりしているアットホームな学校で留学したい。という方にオススメです！","Level 5, 72 Bathurst Street, Sydney, NSW, 2000","設立：2016年

",33.880605,151.205809,/images/Londsdale_Bespoke_Sydney_1.jpg,/images/Londsdale_Bespoke_Sydney_2.jpg,オーストラリア,32,,
Milestones English Academy,オーストラリア,メルボルン,手厚いサポートの中で英語漬けになれる留学,"Milestones English Academyは『世界一住みたい町』にも選ばれたアートの街メルボルンに位置する語学学校で、日本人が少ない環境の中でしっかりと英語学習に取り組める留学先です。

2016年に設立された新しい学校にも関わらず、高い満足度と口コミにより急成長した当校。日本人生徒の比率は約10%かつ多国籍な環境ですが、同時にアットホームな雰囲気で日本人スタッフや講師からのサポートも手厚いのが魅力です。

英語学習の効果を高めるために学校のルールは厳しく設計されているため、メリハリをつけて英語を学びたい方にオススメです！","Level 11/190 Queen St, Melbourne VIC 3000 Australia","設立：2016年

",37.814005,144.960667,/images/Milestones_English_Academy_1.jpg,/images/Milestones_English_Academy_2.jpg,オーストラリア,33,,
Lonsdale Institute/Bespoke (Melbourne),オーストラリア,メルボルン,小規模でアットホームなメルボルンの名門校,"Lonsdale Institute/Bespoke（メルボルン校）は、卒業生の満足度が高い名門校の1つ。小規模でアットホームかつ少ない日本人比率が魅力です。

当校は、アートの街メルボルンの中心部に位置し、世界的にも有名なカフェ通りの横にキャンパスを構えています。

２担任制などの独自カリキュラムが人気で、フレンドリーな教師やスタッフからのサポートが手厚いことでも有名。毎日放課後に無料アクティビティ/クラスを実施しているので、希望すればどんどん学ぶことのできる環境となっています。小規模かつアットホームな学校へ留学したい。という方にオススメです！","Level 1, 277 Flinders Lane, Melbourne, VIC, 3000","設立：2006年

",37.817481,144.964424,/images/Lonsdale_Bespoke_Melbourne_1.jpg,/images/Lonsdale_Bespoke_Melbourne_2.jpg,オーストラリア,34,,
Lexis English (Brisbane),オーストラリア,ブリスベン,初心者でも安心のアットホームさと充実したサポート,"Lexis Englishブリスベン校は、英語力が初級の方にもオススメの落ち着いた雰囲気を持つ学校です。

当校は、オーストラリア随一の暖かい気候と治安の良さを誇るブリスベンの中心に位置。シドニーやパースなど他都市にも５つのキャンパスがあり、無料での転校が可能となっています。そのため、まずブリスベン校に入学してから、他キャンパスへ移動するという方もいます。

「ただ英語を教える」だけでなく、「英語を実際に使えるようになるためのサポート」を使命としている当校。留学や英語初心者の方でも安心のサポート体制が整っているので、アットホームな環境で落ち着いて留学したい方にオススメです！","Level 6, 15 Adelaide Street, Brisbane QLD 4000","設立：2003年

",27.470025,153.021123,/images/Lexis_English_Brisbane_1.jpg,/images/Lexis_English_Brisbane_2.jpg,オーストラリア,35,,
Inforum Education Australia,オーストラリア,ゴールドコースト,笑顔溢れるアットホームな人気校,"Inforumは、初心者から上級者まで着実に英語力を伸ばせるゴールドコーストの人気校。アットホームかつ真面目な校風で、一般英語コースはもちろん、IELTSやケンブリッジ検定の試験対策コースにも非常に強い学校です。

当校は、留学生が多く暮らすおしゃれな街サウスポートの中心に位置し、ビーチまでも近い便利な立地。休みの日や放課後など、綺麗な海を満喫することができます。

また、日本人スタッフが常勤で２名以上在籍しており、生徒サポートが非常にしっかりとしている学校なので、海外初心者の方にもオススメの留学先です！","13-15 Short St, Southport QLD 4215 Australia",設立：2007年,27.969972,153.415950,/images/Inforum_Education_Australia_1.jpg,/images/Inforum_Education_Australia_2.jpg,オーストラリア,36,,
North Sydney English College (NSEC),オーストラリア,シドニー,自慢のベテラン講師陣が教えるシドニーの格安校,"North Sydney English College(NSEC)はリーズナブルな価格ながら、長年のキャリアを持つベテラン講師陣に定評のあるシドニーの人気校です。

オーストラリア最大の都市シドニーの中心部に位置し、キャンパスはTown Hall駅から徒歩５分。オーストラリアきっての利便性の高いエリアにて、格安で質の高い英語学習を実現できます。

徒歩３分ほどの距離には姉妹校のLloyds International Collegeがあり、専門コースへの進学もスムーズなため、長期留学の方にもオススメの学校です！","Level 1, 499 Kent Street, Sydney NSW 2060","設立：2002年

",33.874083,151.204370,/images/NSEC_1.jpg,/images/NSEC_2.jpg,オーストラリア,37,,